datetime,underlying_price,NIFTY27JAN2625200CE,NIFTY27JAN2625300CE,NIFTY27JAN2625400CE,NIFTY27JAN2625500CE,NIFTY27JAN2625600CE,NIFTY27JAN2625700CE,NIFTY27JAN2625800CE,NIFTY27JAN2625900CE,NIFTY27JAN2626000CE,NIFTY27JAN2626100CE,NIFTY27JAN2626200CE,NIFTY27JAN2626300CE,NIFTY27JAN2626400CE,NIFTY27JAN2626500CE,NIFTY27JAN2623800PE,NIFTY27JAN2623900PE,NIFTY27JAN2624000PE,NIFTY27JAN2624100PE,NIFTY27JAN2624200PE,NIFTY27JAN2624300PE,NIFTY27JAN2624400PE,NIFTY27JAN2624500PE,NIFTY27JAN2624600PE,NIFTY27JAN2624700PE,NIFTY27JAN2624800PE,NIFTY27JAN2624900PE,NIFTY27JAN2625000PE,NIFTY27JAN2625100PE
07-01-2026 09:15,26111.65,0.12662,0.1233,0.11741,0.11376327216826262,0.11005,0.10576,0.09970156696377425,0.09724,0.0957,0.09397,0.09187,0.09041,0.08908,0.08795,0.1784,0.17237,0.16928,0.16469053553166152,0.1576,0.1524,0.14697,0.14105,0.13613,0.13085,0.1264,0.12142,0.11631,0.1115
07-01-2026 09:20,26141.4,0.08632,0.10087969279692507,0.11167847902873035,0.11779,0.11197,0.11028,0.10617153126746037,0.10196855329669724,0.09837,0.09619,0.09413,0.09236,0.09057,0.08925,0.17962,0.17477,0.16969978736290017,0.16534,0.15844649573930011,0.1542,0.14753,0.14274,0.13849,0.13282,0.12698479406092045,0.12363,0.11754446181888054,0.11353
07-01-2026 09:25,26139.35,0.09147,0.09203801358634664,0.09514,0.09933,0.09599,0.09204,0.09216,0.08954,0.08996,0.08861,0.08697,0.08627,0.08541,0.09091496759098308,0.1801,0.17574,0.17154,0.16567,0.15927,0.15227696314801228,0.14919,0.14245,0.13806,0.13242,0.12877,0.12349,0.11817,0.11446320989938569
07-01-2026 09:30,26128.95,0.1086,0.10842,0.1115,0.12248,0.10715,0.11098,0.10345,0.09695488549940229,0.09864,0.09511,0.09304,0.09123,0.08688790395994836,0.08843,0.18174,0.18302253081163575,0.17206,0.16502,0.15755,0.1536688555454518,0.14691,0.14209,0.13721,0.13184,0.12722,0.12252,0.11729,0.112
07-01-2026 09:35,26131.9,0.10462,0.10538,0.12459,0.12051,0.11225,0.11294,0.10544,0.10018995936876604,0.09896,0.09839734612605616,0.09412,0.09136,0.09014,0.08885,0.18193,0.1757275756914221,0.17226,0.16522,0.15924,0.15334,0.14784,0.1423,0.13632366283945072,0.13219,0.12733,0.12295,0.11707,0.11179240988047029
07-01-2026 09:40,26145.15,0.07079,0.07639,0.08313,0.08523,0.08524240081726542,0.08734,0.08439355628027512,0.08301655779744455,0.0845,0.08386,0.0850904004182888,0.08301,0.08262,0.08249,0.18277,0.1782,0.17265,0.16631,0.15883,0.15343,0.14961,0.14337,0.1382,0.13313,0.12864,0.12374,0.11872,0.11932832196018966
07-01-2026 09:45,26113.1,0.11162863775463394,0.11837,0.10826,0.11514,0.1083,0.1055,0.10226,0.09913661733665827,0.09741,0.09438,0.09237,0.09075,0.0870101407163671,0.08809,0.18107,0.17468,0.1704,0.16426,0.157,0.15289,0.14697,0.14089,0.13571,0.13075,0.12599,0.12096,0.1140873733957116,0.11071
07-01-2026 09:50,26110.0,0.12463931063196998,0.12087,0.10978,0.10921024230934614,0.10545590555677287,0.10476,0.09939,0.0968,0.09542,0.09316,0.09122,0.08945,0.0871718837343391,0.08699,0.1777979235633464,0.1745,0.17045,0.16386,0.15681,0.15155,0.14694,0.1419135021723546,0.13566,0.13068,0.12601,0.12059683502906152,0.11607,0.11095
07-01-2026 09:55,26108.9,0.13029,0.12175,0.13487,0.12535597805317342,0.12009,0.11328,0.10975971609856605,0.10767483000714209,0.10426,0.10032,0.09739,0.09479,0.09256,0.09083,0.18084,0.17444,0.16945,0.16358,0.15675,0.1522606640871653,0.14636,0.14063,0.1353,0.13017490279874672,0.12571,0.12047,0.11507759164408513,0.10983
07-01-2026 10:00,26140.3,0.09239,0.0877,0.115,0.11531,0.11123,0.10752,0.10161,0.09863886499635566,0.09747,0.09748128830279024,0.09255,0.09062,0.08911,0.09256988836552074,0.1828,0.17745,0.1717,0.16515,0.16067,0.15356,0.1481,0.14259,0.1377414416700398,0.13216,0.12774,0.12248,0.11747212746203448,0.1122
07-01-2026 10:05,26142.95,0.09177048471439087,0.08237,0.11304,0.1133553026082785,0.11037,0.11308,0.11004,0.10336,0.10275,0.09909,0.09616,0.0921362619052729,0.09181,0.09023,0.18298,0.17622,0.1714,0.16534,0.15961,0.15374,0.14828,0.14278,0.13766,0.13236,0.12794,0.12247,0.11739,0.11183
07-01-2026 10:10,26159.15,0.10591,0.11189,0.09886,0.10744128923844751,0.10296500491964544,0.10706872261393305,0.10588,0.10323861592839084,0.10190051433571995,0.09746,0.09524,0.09264,0.09117,0.08945,0.18016663993469456,0.17667243262015814,0.17292,0.16683,0.16271298328477282,0.15501,0.14937,0.14421,0.13893,0.1335,0.12947,0.12462,0.11843,0.11309
07-01-2026 10:15,26183.8,0.12049,0.09722,0.11136,0.09406,0.09202,0.09154231478659183,0.09326,0.08786,0.08838,0.0854557744431301,0.08802381322810354,0.08527,0.08415,0.08461482613646759,0.18267,0.1756644968216951,0.17425,0.16842,0.16269,0.15663,0.15173,0.14572,0.14048,0.13536,0.13028,0.12548,0.12019,0.115
07-01-2026 10:20,26169.15,0.13492,0.11376,0.12267,0.1127790695307935,0.10785,0.10225916691108614,0.09695,0.09399,0.09285,0.09140780962385489,0.08918,0.08778,0.08646,0.08546,0.18381,0.17694,0.17322412985272015,0.1675,0.16245561749695217,0.15570683208068484,0.15024,0.14558054458214822,0.13994,0.13449,0.12949,0.12431,0.11901,0.11379
07-01-2026 10:25,26152.25,0.14819,0.11685,0.1055,0.10144,0.10012968511615072,0.09150698602419935,0.09325,0.09388,0.0911,0.08690923542267706,0.08801,0.08672,0.0857,0.08459,0.18279,0.1759,0.16645954024620763,0.16626690692286483,0.16026,0.15459,0.14949,0.14378,0.13834,0.13291,0.12889,0.1234,0.11784,0.11258
07-01-2026 10:30,26130.45,0.14045,0.13392,0.12199,0.11614286613491284,0.10937393176479282,0.10631,0.10164,0.09839,0.09700299603661841,0.09407,0.08985612369604162,0.09188865893667181,0.0883,0.08712,0.18145,0.17666,0.17139,0.16528,0.15994505328860803,0.15318,0.14805,0.14233,0.13686,0.1314,0.12709,0.1217,0.11602,0.11090616467287767
07-01-2026 10:35,26133.05,0.13848,0.13213,0.12328510834241774,0.11849448905206647,0.109,0.10357,0.10375,0.09754,0.09843,0.09542471466892535,0.09299,0.09521867145765617,0.08935,0.08769,0.18012165036165356,0.17607,0.17133,0.16478,0.15569497124222564,0.15317,0.1486,0.14326565172930253,0.13675,0.13159,0.12694,0.12169,0.11406219804337989,0.11086
07-01-2026 10:40,26144.05,0.13284041842202632,0.1239,0.11831873909078611,0.11069,0.10614253071558943,0.10253,0.09817164994448357,0.09761,0.09496,0.09090213761789909,0.09067,0.08757122080908142,0.08738,0.08609,0.18288,0.17646946378081804,0.17204,0.1655,0.15977,0.15409,0.14898,0.14327,0.13781,0.13264,0.12761,0.12155554910309138,0.11697,0.11450488375775486
07-01-2026 10:45,26141.15,0.12448,0.11800621811418807,0.11456,0.114,0.10828,0.10332,0.10041,0.09745,0.09459545279779201,0.09195,0.09043,0.08885,0.08608721622699027,0.08575,0.18131,0.1766,0.1693840125707157,0.16533,0.15938,0.15392,0.14844,0.14292,0.13762,0.13204,0.12718,0.12241,0.11676,0.1133561698596443
